epoch,train_loss,val_loss,train_accuracy,val_accuracy,test_loss,test_accuracy
1,0.6233886467558997,0.5596082525120841,0.6576819407008087,0.7266187050359713,0.3287519829140769,0.8964285714285715
2,0.5484573802777699,0.5258311198817359,0.7421383647798742,0.762589928057554,0.3287519829140769,0.8964285714285715
3,0.5173971646598408,0.5093290855487188,0.7726864330637916,0.7877697841726619,0.3287519829140769,0.8964285714285715
4,0.4928448694092887,0.484208881855011,0.798292902066487,0.8057553956834532,0.3287519829140769,0.8964285714285715
5,0.4721770654831614,0.4673338565561507,0.8099730458221024,0.8273381294964028,0.3287519829140769,0.8964285714285715
6,0.465717753980841,0.4587704605526394,0.8225516621743036,0.8453237410071942,0.3287519829140769,0.8964285714285715
7,0.4557649382523128,0.4554760588539971,0.8207547169811321,0.8453237410071942,0.3287519829140769,0.8964285714285715
8,0.4407777366893632,0.43571270174450344,0.8364779874213837,0.8381294964028777,0.3287519829140769,0.8964285714285715
9,0.43138022869825365,0.4249681830406189,0.8409703504043127,0.841726618705036,0.3287519829140769,0.8964285714285715
10,0.41991479013647354,0.42436207830905914,0.8495058400718778,0.8633093525179856,0.3287519829140769,0.8964285714285715
11,0.41338221366916383,0.402394594417678,0.862084456424079,0.8381294964028777,0.3287519829140769,0.8964285714285715
12,0.39761521560805185,0.3996719933218426,0.8683737646001797,0.8345323741007195,0.3287519829140769,0.8964285714285715
13,0.3929418758622238,0.3880056225591236,0.8688230008984726,0.8381294964028777,0.3287519829140769,0.8964285714285715
14,0.38548883646726606,0.38593605905771255,0.8706199460916442,0.8633093525179856,0.3287519829140769,0.8964285714285715
15,0.38958650689039914,0.3895084642701679,0.8674752920035939,0.8453237410071942,0.3287519829140769,0.8964285714285715
16,0.36884959904210907,0.3791964997847875,0.8849955076370171,0.8669064748201439,0.3287519829140769,0.8964285714285715
17,0.36315634553985937,0.36804670012659496,0.8872416891284816,0.8741007194244604,0.3287519829140769,0.8964285714285715
18,0.3624275453388691,0.3611696743302875,0.8787061994609164,0.8705035971223022,0.3287519829140769,0.8964285714285715
19,0.3562055410018989,0.35439421567651963,0.8872416891284816,0.8776978417266187,0.3287519829140769,0.8964285714285715
20,0.3510878786444664,0.3440527270237605,0.8872416891284816,0.8884892086330936,0.3287519829140769,0.8964285714285715
